date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,DEFI,GBTC
4/8/24,297,88,563,130,0,0,0,0,32,0,-4235
4/9/24,1845,43,54,0,0,0,0,0,0,11,-2222
4/10/24,486,1114,354,107,0,0,0,0,0,0,-255
4/11/24,2747,66,159,0,0,0,120,0,0,0,-1787
4/12/24,111,0,0,0,0,0,0,0,0,0,-166
4/13/24,0,0,0,0,0,0,0,0,0,0,0
4/14/24,0,0,0,0,0,0,0,0,0,0,0
4/15/24,1169,0,0,0,0,0,0,0,0,0,-1736
4/16/24,416,22,0,-205,0,29,27,57,0,0,-1260
4/17/24,281,1,-29,1289,0,0,-2,0,0,0,-2379
4/18/24,296,590,0,150,0,0,0,114,0,0,-1421
4/19/24,467,853,278,195,61,30,0,-28,0,0,-713
4/20/24,0,0,0,0,0,0,0,0,0,0,0
4/21/24,0,0,0,0,0,0,0,0,0,0,0
4/22/24,296,524,33,341,41,115,0,113,0,0,-527
4/23/24,566,66,345,495,-4,28,0,-28,0,0,-999
4/24/24,0,87,0,65,0,0,0,0,0,0,-2031
4/25/24,0,-350,-93,-484,0,29,0,0,0,0,-2157
4/26/24,0,-44,-59,84,0,0,0,0,0,0,-1288
